1;TOTAL GASTOS DE FUNCIONAMIENTO 
A.3.3.4;DISEÑO E IMPLANTACIÓN DE ESQUEMAS ORGANIZACIONALES PARA LA ADMINISTRACIÓN Y OPERACIÓN DEL SERVICIO DE ASEO
A.3.3.5;RECOLECCIÓN, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS SÓLIDOS
A.3.3.6;CONSTRUCCIÓN DE NUEVOS SISTEMAS DE DISPOSICIÓN FINAL
A.3.3.7;PROYECTOS DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS
A.3.3.8;PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS (PGIRS)
A.3.3.9;PAGO DE PASIVOS LABORALES
A.3.4;CONSTRUCCIÓN, RECUPERACIÓN Y MANTENIMIENTO DE OBRAS DE SANEAMIENTO BÁSICO RURAL
A.3.5;TRANSFERENCIAS PARA EL PLAN DEPARTAMENTAL DE AGUA POTABLE Y SANEAMIENTO BÁSICO
A.3.6;PAGO DE DÉFICIT DE INVERSIÓN EN AGUA POTABLE Y SANEAMIENTO BÁSICO
A.4;DEPORTE Y RECREACIÓN
A.4.1;FOMENTO, DESARROLLO Y PRÁCTICA DEL DEPORTE, LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE
A.4.2;CONSTRUCCIÓN, MANTENIMIENTO Y/O ADECUACIÓN DE LOS ESCENARIOS DEPORTIVOS Y RECREATIVOS
A.4.3;DOTACIÓN DE ESCENARIOS DEPORTIVOS E IMPLEMENTOS PARA LA PRACTICA DEL DEPORTE
A.4.4;PREINVERSIÓN EN INFRAESTRUCTURA
A.4.5;PAGO DE INSTRUCTORES CONTRATADOS PARA LA PRÁCTICA DEL DEPORTE Y LA RECREACIÓN
A.4.7;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.4.8;PAGO DE DÉFICIT DE INVERSIÓN EN DEPORTE Y RECREACIÓN
A.5;CULTURA
A.5.1;FOMENTO, APOYO Y DIFUSIÓN DE EVENTOS Y EXPRESIONES ARTÍSTICAS Y CULTURALES
A.5.11;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.5.12;SEGURIDAD SOCIAL DEL CREADOR Y GESTOR CULTURAL
A.5.13;PAGO DE DÉFICIT DE INVERSIÓN EN CULTURA
A.5.2;FORMACIÓN, CAPACITACIÓN E INVESTIGACIÓN ARTÍSTICA Y CULTURAL
A.5.3;PROTECCIÓN DEL PATRIMONIO CULTURAL 
A.5.4;PREINVERSIÓN EN INFRAESTRUCTURA
A.5.5;CONSTRUCCIÓN, MANTENIMIENTO Y ADECUACIÓN DE LA INFRAESTRUCTURA ARTÍSTICA Y CULTURAL
A.5.6;MANTENIMIENTO Y DOTACIÓN DE BIBLIOTECAS
A.5.7;DOTACIÓN DE LA INFRAESTRUCTURA ARTÍSTICA Y CULTURAL  
A.5.8;PAGO DE INSTRUCTORES CONTRATADOS PARA LAS BANDAS MUSICALES 
A.5.9;PAGO DE INSTRUCTORES Y BIBLIOTECÓLOGOS CONTRATADOS PARA LA EJECUCIÓN DE PROGRAMAS Y PROYECTOS ARTÍSTICOS Y CULTURALES
A.6;SERVICIOS PÚBLICOS DIFERENTES A ACUEDUCTO ALCANTARILLADO Y ASEO (SIN INCLUIR PROYECTOS DE VIVIENDA DE INTERÉS SOCIAL)
A.6.1;SUBSIDIOS PARA USUARIOS DE MENORES INGRESOS - FONDO DE SOLIDARIDAD Y REDISTRIBUCIÓN DEL INGRESO
A.6.11;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.6.12;PAGO DE DÉFICIT DE INVERSIÓN EN SERVICIOS PÚBLICOS
A.6.2;MANTENIMIENTO Y EXPANSIÓN DEL SERVICIO DE ALUMBRADO PÚBLICO 
A.6.3;PAGO DE CONVENIOS O CONTRATOS DE SUMINISTRO DE ENERGÍA ELÉCTRICA PARA EL SERVICIO DE ALUMBRADO PÚBLICO O PARA EL MANTENIMIENTO Y EXPANSIÓN DEL SERVICIO DE ALUMBRADO PÚBLICO
A.6.4;PREINVERSIÓN EN INFRAESTRUCTURA
A.6.5;CONSTRUCCIÓN, ADECUACIÓN Y MANTENIMIENTO DE INFRAESTRUCTURA DE SERVICIOS PÚBLICOS
A.6.6;OBRAS DE ELECTRIFICACIÓN RURAL
A.6.7;DISTRIBUCIÓN DE GAS COMBUSTIBLE
A.6.8;TELEFONÍA PUBLICA CONMUTADA
A.6.9;TELEFONÍA LOCAL MÓVIL EN EL SECTOR RURAL
A.7;VIVIENDA
A.7.1;SUBSIDIOS PARA ADQUISICIÓN DE VIVIENDA DE INTERÉS SOCIAL
A.7.10;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.7.11;PAGO DE DÉFICIT DE INVERSIÓN EN VIVIENDA
A.7.2;SUBSIDIOS PARA MEJORAMIENTO DE VIVIENDA DE INTERÉS SOCIAL
A.7.3;PLANES Y PROYECTOS DE MEJORAMIENTO DE VIVIENDA Y SANEAMIENTO BÁSICO
A.7.4;PLANES Y PROYECTOS DE CONSTRUCCIÓN DE VIVIENDA EN SITIO PROPIO
A.7.5;PLANES Y PROYECTOS PARA LA ADQUISICIÓN Y/O CONSTRUCCIÓN DE VIVIENDA
A.7.6;SUBSIDIOS PARA REUBICACIÓN DE VIVIENDAS ASENTADAS EN ZONAS ALTO RIESGO
A.7.7;PROYECTOS DE TITULACIÓN Y LEGALIZACIÓN DE PREDIOS
A.7.8;PREINVERSIÓN EN INFRAESTRUCTURA
A.8;AGROPECUARIO
A.8.1;PREINVERSIÓN EN INFRAESTRUCTURA
A.8.10;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.8.11;PAGO DE DÉFICIT DE INVERSIÓN EN DESARROLLO AGROPECUARIO
A.8.2;MONTAJE, DOTACIÓN Y MANTENIMIENTO DE GRANJAS EXPERIMENTALES
A.8.3;PROYECTOS DE CONSTRUCCIÓN Y MANTENIMIENTO DE DISTRITOS DE RIEGO Y ADECUACIÓN DE TIERRAS
A.8.4;PROMOCIÓN DE ALIANZAS, ASOCIACIONES U OTRAS FORMAS ASOCIATIVAS DE PRODUCTORES
A.8.5;PROGRAMAS Y PROYECTOS DE ASISTENCIA TÉCNICA DIRECTA RURAL
A.8.6;PAGO DEL PERSONAL TÉCNICO VINCULADO A LA PRESTACIÓN DEL SERVICIO DE ASISTENCIA TÉCNICA DIRECTA RURAL
A.8.7;CONTRATOS CELEBRADOS CON  ENTIDADES PRESTADORAS DEL SERVICIO DE ASISTENCIA TÉCNICA DIRECTA RURAL
A.8.8;DESARROLLO DE PROGRAMAS Y PROYECTOS PRODUCTIVOS EN EL MARCO DEL PLAN AGROPECUARIO 
A.9;TRANSPORTE
A.9.1;CONSTRUCCIÓN DE VÍAS 
A.9.10;ESTUDIOS Y PREINVERSIÓN EN INFRAESTRUCTURA
A.9.11;COMPRA DE MAQUINARIA Y EQUIPO
A.9.12;INTERVENTORIA DE PROYECTOS DE CONSTRUCCIÓN Y MANTENIMIENTO DE INFRAESTRUCTURA DE TRANSPORTE
A.9.14;RESERVAS DE INVERSIÓN EN EL SECTOR VIGENCIA ANTERIOR (LEY 819 DE 2003)
A.9.15;SISTEMAS DE TRANSPORTE MASIVO
A.9.16;PLANES DE TRÁNSITO, EDUCACIÓN, DOTACIÓN DE EQUIPOS Y SEGURIDAD VIAL
A.9.17;INFRAESTRUCTURA PARA TRANSPORTE NO MOTORIZADO (REDES PEATONALES Y CICLORUTAS)
A.9.18;PAGO DE DÉFICIT DE INVERSIÓN EN TRANSPORTE
A.9.2;MEJORAMIENTO DE VÍAS
A.9.3;REHABILITACIÓN DE VÍAS
A.9.4;MANTENIMIENTO RUTINARIO DE VÍAS
A.9.5;MANTENIMIENTO PERIÓDICO DE VÍAS
A.9.6;CONSTRUCCIÓN DE INSTALACIONES PORTUARIAS, FLUVIALES Y MARÍTIMAS
A.9.7;MANTENIMIENTO DE INSTALACIONES PORTUARIAS, FLUVIALES Y MARÍTIMAS
A.9.8;CONSTRUCCIÓN DE TERMINALES DE TRANSPORTE Y AEROPUERTOS
A.9.9;MEJORAMIENTO Y MANTENIMIENTO DE TERMINALES DE TRANSPORTE Y AEROPUERTOS
VAL;CIFRA CONTROL
